"Imported Companies","Enrich LI Company","Name","Description","Primary Industry","Size","Type","Location","Country","Domain","LinkedIn URL","Company Headcount Growth","Find most recent news","Find Technology Stack","Find Tech Stack","Tech Stack","Find Open Jobs","Find Open Jobs (1)","Find Active Job Openings via LinkedIn","Job Openings"
,,"Chemi-flow Rubber Industries - India",,"Mechanical or Industrial Engineering",,,"Pune, Maharashtra","India","rubberindustriesindia.com","https://www.linkedin.com/company/chemi-flow-rubber-industries---india",,,,,,,,,
,,"ARC DAMPERS","ARC Dampers, Indias first indigenous Specialised Industrial Shock Absorber manufacturer. ARC is a start-up team with more than 10+ years of experience in the Industrial damping technology. ARC provides quality energy absorption products and services for the Industrial, Aerospace, Defense, Marine and Rail markets. We have multiple variety of customised shock absorbers specially developed as per product application and customer requirement. Designed in Germany and manufactured in India, ARC shock absorbers are your one stop shop for damping solution in order to improve machine efficiency and protect aftermarket replacements. Our core value proposition is to provide clients an unparalleled experience in terms of product quality, safety (product performance) and on-time delivery.","Mechanical or Industrial Engineering","2-10 employees","Privately Held","New Delhi, New Delhi","India","arcdampers.com","https://www.linkedin.com/company/arc-dampers",,,,,,,,,
,,"Suraj Engineering Works, Bhandup","Offering drilling job work, tapping job work and threading job works.","Mechanical or Industrial Engineering","51-200 employees",,"Mumbai, Maharashtra","India","indiamart.com","https://www.linkedin.com/company/suraj-engineering-works-bhandup",,,,,,,,,
,,"Arvinda Blenders","Arvinda Blenders is the brand of premium quality Industrial Mixing Equipment and in the very short span it has gain the popularity of becoming Indias prominent manufacturer, supplier, and exporter of customized as well as energy-efficient Industrial powder mixing equipment and industrial mixing equipment such as Ribbon Blender, Paddle Mixer, Twin-shaft mixer, Plough Shear Mixer, Hybrid Blender, Octagonal, double Cone, Cone ribbon mixer, V blender,  Conical Ribbon Mixer (Vertical Ribbon Mixer) and Vertical Stirrer Machine.","Mechanical or Industrial Engineering","51-200 employees","Self Owned","Ahmedabad, Gujarat","India","arvindablenders.co.in","https://www.linkedin.com/company/arvinda-blenders-india",,,,,,,,,
,,"Aizen Valves Pvt. Ltd.","A Company Specialist in manufacturing Strainers like Y Type, Basket Type, Duplex Type, T Type, Pot Type & Temporary Strainers in different Variants. also manufacturing Valves like Gate Valve, Globe Valve, Check Valve like Wafer Check Valve, Dual Plate Check Valve, Disc Check Valve, Swing Check Valve, Butterfly Valve, Forged Steel Valve like Forged Steel Gate Valve, Forged Steel Globe Valve, Forged Steel Lift Check Valve & Ball Valve etc. in all size and class as per customer requirement adhering to National and International Standards for the purpose of designing & manufacturing of industrial valves.","Mechanical or Industrial Engineering","201-500 employees","Privately Held","Ahmedabad, Gujarat","India","aizenvalves.com","https://www.linkedin.com/company/aizenvalves",,,,,,,,,
,,"Microne Industries","Microne Industries is a leading manufacturer and exporter of high quality specialized Valves. Microne reigns supreme in offering products that are supreme in quality and robust in performance. The Company has a team of design engineers who excel at designing products that are not only quality driven and cost effective, but suit the wider market needs and specifications. Microne is a quality focused company and produces products using the highest quality components that are verified and tested in its own in-house lab before being used.

Microne is an ISO 9001:2015, ISO 14001:2004 , ISO 18001:2007 & API-6D certified company and produces products on par with the international quality standards. Microne's Signature product range comprises of Ball Valve, Plug Valves, Globe Valves, Check Valves, Gate Valves, Butterfly Valves & sluice Gate Valves.

The Company is founded in 1996 and ably managed by Mr. N. Ravichandran and Mr. C. Raju. Both are serving as Managing directors of the company. They lend strategic direction and drive the company towards achieving manufacturing excellence by setting up and efficient process mechanism. They remain to be great source of inspiration to all the people across the organization handling various responsibilities.

Microne has state of the art manufacturing facility with large storage space which ensures there is no Mix up or other chaos. The company adopts a robust process mechanism where even the bulk orders are processed efficiently without any time delay or other hassles. Microne offers customized packing options to clients to ensure Zero damage and total satisfaction to every customer.","Mechanical or Industrial Engineering","51-200 employees","Partnership","Chennai, Tamil Nadu","India","microneind.com","https://www.linkedin.com/company/microne-ind",,,,,,,,,
,,"Metallizing Equipment Company (MEC) Pvt Ltd",,"Mechanical or Industrial Engineering","2-10 employees",,"Jodhpur, Rajasthan","India","mecpl.com","https://www.linkedin.com/company/metallizing-equipment-company-mec-pvt-ltd",,,,,,,,,
,,"Vintex Rubber Industries","intex Rollers: Elevating Industries with Premium Rubber Solutions 

Progressive Excellence:
As one of the Largest Global Suppliers and Exporters of Rubber Rollers, Vintex Rollers boasts a journey marked by evolution and excellence.

 Competitive Edge:
Our In-House Expertise spans from design to engineering, guaranteeing impeccable quality and minimal rejection rates. With units in Gurgaon, Ahmedabad, Hyderabad, and Kolkata, we're strategically positioned to cater to industry needs.

️ Premium Materials:
Our Rubber Rollers are crafted from superior quality materials like Nitril, E.P.D.M, Neoprene, Hypalone, and Silicone, catering to diverse applications such as Offset, Gravure, Flexo, and more.

️ Complete Solutions:
Vintex Rollers extends beyond products, offering a gamut of After-Sale Services like re-rubberization, grooving, repair, and balancing. Our vast variety of roll coverings have proved their reliability, enduring performance, and consistent quality.

 Beyond Expectations:
Our experienced team's mission is to re-engineer our product line, enhancing the global image of our rubber rollers. We're committed to producing quality products that exceed industry demands.

 Innovative Workforce:
Our workforce, equipped with the latest technologies, ensures our ability to deliver what we promise  setting new industry standards.

Join Vintex Rollers in our journey to redefine industry benchmarks and provide unmatched value.

 Driving Excellence in Rubber Solutions | #VintexRollers #RubberRollers #InnovationLeadership #GlobalExporters","Mechanical or Industrial Engineering","51-200 employees","Self Owned","Gurgaon, Haryana","India","vintexrollers.com","https://www.linkedin.com/company/vintex-rubber-industry",,,,,,,,,
,,"Prime India Engineering Works","We are well-known and leading service provider of Control Panel Work, Lighting Services, Cable Laying Service, Electric Panel Service, Inverter Fitting Service, Electrical AMC Services, Lightning Protection Service, etc.","Mechanical or Industrial Engineering","51-200 employees",,"Noida, Uttar Pradesh","India","indiamart.com","https://www.linkedin.com/company/prime-india-engineering-works",,,,,,,,,
,,"Dream & Design Solutions (D&DS)","You dream, we design.
We are a design company committed to create a positive impact on our clients products and their designs. We are thinkers, makers, and creators.
For us, solving problems isnt just a job, it is who we are. 

A team of committed, passionate, qualified engineers and designers with proven professional experience in consumer and industrial products.","Mechanical or Industrial Engineering","2-10 employees","Self Owned","Bangalore, Karnataka","India","dreamndesigns.com","https://www.linkedin.com/company/dream-design-solutions",,,,,,,,,
,,"D B Engineering Solutions LLP","We are a manufacturing company having the wherewithal to give you Quality blades.

An established leader in the manufacturing of Industrial Knives and Blades. Today we have a very broad and wide domestic customer base, which include some of the largest Paper Mills, Steel Mills Service Centers, Tube , Pipe and Section Manufacturers, Printing and Binding house, Plywood, Chipboard, OSB board manufacturer in the country. Included in our customer list are some of the leading PSF manufacturer, Plastic Granule manufacturer and also Plastic and Metal Recyclers.  Further our products are also being exported to more than 40 countries worldwide.","Mechanical or Industrial Engineering","201-500 employees","Privately Held","Noida, Uttar Pradesh","India","dbknivesllp.com","https://www.linkedin.com/company/dbknives-solutions-llp",,,,,,,,,
,,"Vibrant Engineers","Engineering Solution Provider","Mechanical or Industrial Engineering","2-10 employees","Self Employed","VAPI, GUJARAT","India","vibrantengineers.com","https://www.linkedin.com/company/vibrant-engineers",,,,,,,,,
,,"Aditaya Engineering Works","Established in 2017, Aditaya Engineering Works is the leading Manufcaturer, Wholesaler and Retailer of Conveyor System, Conveyor Belt, Dona Plate Machine and much more. The offered ranges are highly durable and provide with a long and efficient...","Mechanical or Industrial Engineering","51-200 employees",,"Delhi, Delhi","India","aditayaengineeringworks.com","https://www.linkedin.com/company/aditaya-engineering-works",,,,,,,,,
,,"LCD/LED/TV Engineer",,"Mechanical or Industrial Engineering",,,"Panchkula, Haryana","India","tvengineer.com","https://www.linkedin.com/company/lcd-led-tv-engineer",,,,,,,,,
,,"Growell CNC Systems","Growell CNC Systems is pioneers in manufacturing of machined parts and sub-assemblies for Aerospace, Auto, Engineering and Machine Tool Industries. Located in Peenya Industrial Estate Bangalore, which is the largest industrial area in South East Asia.","Mechanical or Industrial Engineering","51-200 employees","Self Owned","Bengaluru, Karnataka","India","growellcnc.com","https://www.linkedin.com/company/growell-cnc-systems01",,,,,,,,,
,,"Aditya Recruitment Services and Trading LLP","Aditya Recruitment Services and Trading LLP is an organization, with an aim to become a One Stop Shop for the Water, Power and Oil & Gas sectors.

We are Dealers of various Valve manufacturers from India as well as GoFenz Automation.

Our current range of products are as follows :-

VALVES - Our current range includes Gate, Globe, Check, Ball, Butterfly, Sluice, Foot, Non-Return Valves, Air Valves, PRVs, Safety Valves, Needle Valves, Knife/ Pulp Valves, Strainers etc most of which we have Ex-Stock  We also supply Double Offset and Triple Offset  Butterfly Valves along with PRDS Valves as well as Blow Down Valves. 
 
GoFenz - A Powerful Cloud based IoT asset monitoring platform and tracking system to track staff, vehicles, diesel generators and assets.

We look forward to receiving your best wishes and enquiries to propel us forward.

Yours faithfully,

Arun Venkateswaran
Business Partner
Aditya Recruitment Services and Trading LLP
0091-9930536216
adityatrading0303@gmail.com
www.arsat.in","Mechanical or Industrial Engineering","2-10 employees",,"Mumbai, Maharashtra","India","arsat.in","https://www.linkedin.com/company/aditya-recruitment-services-and-trading-llp",,,,,,,,,
,,"Shrinivas Engineering & Auto Component Private Limited",,"Mechanical or Industrial Engineering","51-200 employees",,"Pune, Maharashtra","India",,"https://www.linkedin.com/company/shrinivas-engineering-&-auto-component-private-limited",,,,,,,,,
,,"GM ENTERPRISES","We maintain direct relationships with prominent players in the tools manufacturing industry, including companies like Korloy, TaeguTec, Widia, Vardex, and others. Operating as a dealer in the greater Ahmedabad area, we offer a comprehensive stock of various inserts, tips, and related tools to cater to the needs of our clients.","Mechanical or Industrial Engineering","2-10 employees","Self Employed","AHMEDABAD, Gujarat","India","gm-enterprises.com","https://www.linkedin.com/company/gm-enterprises98",,,,,,,,,
,,"INTEGRATED ENERGY ENGINEERING","INTEGRATED ENERGY ENGINEERING is working in various fields like non ferrous Die casting, Scientific research instruments, Special purpose machines, and LED Light etc.","Mechanical or Industrial Engineering","11-50 employees","Self Owned","KOLHAPUR, MAHARASHTRA","India","integratedenergy.in","https://www.linkedin.com/company/integrated-energy-engineering27",,,,,,,,,
,,"virtuoso insights","at virtuoso insights, we are passionate about harnessing the power of data to drive innovation, growth, and success.  our mission is to empower individuals and businesses with cutting-edge data solutions, top-notch educational resources, and comprehensive career support. 

 analytics & insights: unlock the hidden potential in your data with our expert data analytics team. we provide ingenious solutions to complex business challenges, guiding you towards data-driven decisions and strategic insights. 

 learning center: whether you're a beginner or an experienced data enthusiast, our learning center offers a wealth of courses tailored to your skill level. dive into the world of data analytics, master the latest tools and techniques, and gain a competitive edge in today's data-centric landscape. 

 resume & cover letter: looking to kickstart or advance your career in data analytics? our team of skilled writers will craft captivating resumes and cover letters that highlight your data prowess and attract attention from top employers. 

join us on this transformative data journey as we decode the art of data analytics together. connect with us to stay updated on the latest industry trends, insightful articles, and exciting career opportunities. let's thrive in the data-driven world!  #dataanalytics #datadrivendecisions #CareerAdvancement #DataScience #BusinessIntelligence","Data Infrastructure and Analytics","Self-employed","Self Employed","Hyderabad, Telangana","India",,"https://www.linkedin.com/company/virtuoso-insights",,,,,,,,,
,,"QTech Engineering Services","QTech Engineering Services is one of the most fast-growing Galvanizing/Refractory service providers of 21st century. The company starts its history in 1990s in Hyderabad with the name of Calcutta Refractory Lining Works(CRLW) under the leadership of Mr. Rabiul Khan. After a decade of success and keeping updated with the latest trends in the industry, adapting to the engineered technlogies and advances in the field, CRLW got an international overlook under a new name ""QTech Engineering Sercices"" in 2020.","Mechanical or Industrial Engineering","51-200 employees","Privately Held","HYDERABAD, TELANGANA","India","hrkengineers.com","https://www.linkedin.com/company/qtech-engineering-services",,,,,,,,,
,,"Jayambe Fabricators & Engineers","We �Jayambe Fabricators & Engineers�, are devoted towards Manufacturing and Supplying the durable range of Heater And Lamination Chamber, Printing Machine Spare Parts and Air Blowers.","Mechanical or Industrial Engineering","51-200 employees",,"Ahmedabad, Gujarat","India","indiamart.com","https://www.linkedin.com/company/jayambe-fabricators-&-engineers",,,,,,,,,
,,"COLDNIX INDIA","We stand as your dedicated partner in sustainable technology across diverse industries! At Coldnix, we're not just a technology company; we're pioneers in Design, Manufacturing, and Power Saving, driven by a profound commitment to advancing sustainable development through cutting-edge research and development. Our primary objective is not only to meet but to surpass the demanding industrial needs prevalent across Medical, Pharma, Research Lab, Food, and Manufacturing Industries.

PSA OXYGEN GENERATOR
PSA NITROGEN GENERATOR
SWIMMING POOL HOT & COLD HEAT PUMPS
PHARMA LAB RESEARCH EQUIPMENT
DAIRY PRODUCT EQUIPMENT
HEATLESS & DESICCANT AIR DRYER
CHILLING PLANT
WATER COOLER
BLOOD BANK - CRYOGENIC FREEZER
AIR TREATMENT EQUIPMENT
-21 CFR COMPLIANCE S/W

Why Choose Us?
Unparalleled Expertise
Customized Solutions
Sustainable Practices
Dedicated R&D Focus
Client-Centric Approach

At Coldnix, we understand the unique challenges faced by businesses in different industries. That's why we go beyond providing top-notch products; we offer comprehensive solutions to eliminate your pain points

Technical Support & Service
Product Design & Development
Training","Mechanical or Industrial Engineering","2-10 employees","Privately Held","Ahmedabad, Gujarat","India",,"https://www.linkedin.com/company/coldnix",,,,,,,,,
,,"Purvax Engineers","We are a well known Manufacturer and Supplier of Electrical Panel and PLC Instrumentation and Automation Panel. Our company also provides services like Design And Detail Engineering, Electrical Engineering and Contracts Service etc.","Mechanical or Industrial Engineering","51-200 employees",,"Ahmedabad, Gujarat","India","indiamart.com","https://www.linkedin.com/company/purvax-engineers",,,,,,,,,
,,"Ansh Agrawal","Im a Product Analytics consultant along with a Mixpanel Certified Partner, who has worked with 15+ early-stage startups to help them set up their analytics infrastructure, along with generating insights to drive their business forward.

What Ive done in the past?

- Boosted Copyfy's sign-up conversion from 30% to 61% in 30 days by optimizing UI flow based on user behavior insights.
- Boosted activation funnel by 8% in 30 days using strategic notifications and minimizing user activation friction for Foriio.
- Helped increase Foriio's retention by 6% in 4 months through data-backed UI modifications and feature additions.
- Working with CRED (An Indian FinTech) for the last 1.5 years, Ive delivered insights & created models that boosted success rates by ~5%, cut costs by ~10%, and upped efficiency by ~5%. Alongside, Ive built a dynamic model to record outages across payment providers, using which the outages reduced by 93% m-o-m.

What can I help you with?

 Event tracking and database design
 Analytics strategy
 Dashboarding & analytics
 Solving problem statements [Figuring AHA moment, Improving stickiness ratio/ retention, Improving NPS, Optimizing user funnels & flows, etc.]
 Setting up data automation
 Consulting","Data Infrastructure and Analytics","Self-employed","Self Employed","Delhi","India","anshdoesanalytics.com","https://www.linkedin.com/company/ansh-agrawal",,,,,,,,,
,,"obsrv","A low-code Data Platform designed to facilitate the entire data lifecycle, covering ingestion, processing, storage, and querying. It excels in supporting real-time analytics at any scale, ensuring the utmost reliability and minimal operational overhead. Its scalability has been demonstrated in population scale systems like DIKSHA. 

Leveraging the open-source project Sunbird Obsrv (https://obsrv.sunbird.org), Obsrv stands out as the singular data platform that grants users the freedom: 

- to select their infrastructure (cloud, on-premise, or SAAS), 
- to exit without any binding commitments, and 
- of choice in how they utilize it, either as a platform or a standalone product.","Data Infrastructure and Analytics","11-50 employees","Privately Held","Bengaluru South, Karnataka","India",,"https://www.linkedin.com/company/obsrv",,,,,,,,,
,,"AQUA FLOW POLYMERS - India",,"Mechanical or Industrial Engineering",,,"Howrah, West Bengal","India","aquaflowpolymers.com","https://www.linkedin.com/company/aqua-flow-polymers---india",,,,,,,,,
,,"Rinox Engineering","Rinox Engineering is one of the pioneers of the concept of modular railing system in Stainless steel. It has gained respect amongst the most quality conscious buyers across Europe & American Continents.

Using German manufacturing technology, strict quality norms and multi-locational manufacturing (India & China) Rinox has become a leader in its field.

Premium Stainless Steel Railing System by Rinox provides complete and elegant solution for all standard railing and architectural requirements. The railings system devised by Rinox is completely modular and does not need any welding, grinding or polishing at installation site.

The Railing system is based on interchangeable components, allowing for a wide range of flexibility to design a professional and secure railing system. These components are available to fit standard pipe sizes.","Mechanical or Industrial Engineering","501-1,000 employees","Privately Held","Ludhiana, Punjab","India","rinox.in","https://www.linkedin.com/company/rinox-engineering",,,,,,,,,
,,"Vikash Engineering Corporartion","Vikash Engineering Corporartion Wholesaler of oil engine, pump set & crompton oil engine in Hyderabad, Telangana.","Mechanical or Industrial Engineering","11-50 employees",,"Hyderabad, Telangana","India","indiamart.com","https://www.linkedin.com/company/vikash-engineering-corporartion",,,,,,,,,
,,"Swami Engineering Works",,"Mechanical or Industrial Engineering",,,"Ahmedabad, Gujarat","India",,"https://www.linkedin.com/company/swami-engineering-works",,,,,,,,,
,,"Alpha 3D Designs","We just dont 3D Model and 3D Print, we turn concepts in your mind into a reality, from the very scratch.

We provide you a dedicated professional for your project which provides you full consultation throughout the process for the design, functionality, finishes, choosing different materials, 3D printing or traditional manufacturing technologies, low volume production to high volume production and also towards the business point of view.

As a 3D printing service bureau, we believe that our client must be accompanied at each step of his project. With skills, technology and mastery of the 3D printing technology, our business and customer services are here to","Mechanical or Industrial Engineering","2-10 employees","Self Employed","Udupi, Karnataka","India",,"https://www.linkedin.com/company/alpha-3d-designs",,,,,,,,,
,,"SHRiViN Technologies LLP","SPM ( Metal cutting ) I Assembly Station I Hydraulic Power Pack I Machine Interfacing I Compact Power pack I Light Metal Recycling Projects","Mechanical or Industrial Engineering","2-10 employees","Partnership","Pune, Maharashtra","India",,"https://www.linkedin.com/company/shrivin-technologies",,,,,,,,,
,,"TECHNO INDUSTRIES","We as a full service mechanical product developer and manufacturer, offer a wide range of quality product development as per customers requirments and specifications. 
This includes manufacturing Metal Fabrications, Telecom connectors, BTS Subrack components & various fasteners for assembly  & installations.
		
We also design, manufactures and markets different types of turned, pressed, fabricated, moulded items & connectors as per the need of customers.","Mechanical or Industrial Engineering","11-50 employees","Partnership","PRAYAGRAJ, U.P.","India","technoindustriesalld.com","https://www.linkedin.com/company/techno-industries",,,,,,,,,
,,"Namoona 3D Labs","Update 2023: We are now a registered Micro Enterprise under Ministry of MSMEs, Government of India in Manufacturing segment.

We are a group of highly enthusiastic and young engineers researching on 3D Printing and New Product Development to build an ecosystem to accelerate innovations in Mechanical and Electronic Manufacturing sectors and we have our own Laboratory based in Visakhapatnam, Andhra Pradesh, India to conduct research experiments on 3D Printed, CNC Machined, Injection Moulded Parts and PCBs.","Mechanical or Industrial Engineering","2-10 employees","Self Owned","Visakhapatnam, Andhra Pradesh","India","namoonagroup.com","https://www.linkedin.com/company/namoonalabs",,,,,,,,,
,,"PAVAMAN POLY PRODUCTS PRIVATE LIMITED","High Performance elastomers and rubber; Made in India  --- That's the motto of our company.
Cast polyurethanes are cost effective and dependable elastomers that combine some of the performance advantages of engineering plastics, metals and ceramics along with the resilience and flexibility of rubber. Today, Pavaman Polyurethane Products enjoys considerable success in the polyurethane industry. Housed in a modern production facility, Pavaman Polyurethane Products maintains its commitment to quality.
Pavaman Polyurethane Products s staff prides themselves on being part of a team with a world-wide reputation for value, quality, and timely delivery. Pavaman Polyurethane Products is well-known for creating/producing top-quality polyurethane products.. There are hundreds of products available, and Pavaman Polyurethane Products can produce an unlimited variety of custom polyurethane products.
PAVAMAN POLY PRODUCTS PRIVATE LIMITED is a company based out of 68, Sree Raghavendra Bhavan, 15th Main, Nandini Layout, Bangalore 560096, Karnataka, India.","Mechanical or Industrial Engineering","11-50 employees","Privately Held","Bangalore, Karnataka","India","pavaman.com","https://www.linkedin.com/company/pavaman-poly-products-private-limited",,,,,,,,,
,,"TVI Containers","TVI Containers manufactures containers which are used across industries for office, toilet, pantry, living units, conference rooms and storage purposes. 

Some our our corporate clients are Adani group, L&T, Godrej & Boyce, Surat Municipal Corporation, Rajhans Group, Saint Gobain and Piramal Glass.","Mechanical or Industrial Engineering","11-50 employees","Privately Held","Surat, Gujarat","India","tvindustries.in","https://www.linkedin.com/company/tvi-containers",,,,,,,,,
,,"Jumbo Exports","Engineering Products exports Company.","Mechanical or Industrial Engineering","11-50 employees","Privately Held","Thane, Maharashtra","India","jumboexports.co.in","https://www.linkedin.com/company/jumboexports",,,,,,,,,
,,"ToolClinic.in","ToolClinic.in : Empowering MSEs with Expert Guidance! With expertise in business management, growth strategies, technical skills, financial management, product innovation, costing, fixture designing, and machine selection, our team is here to bridge the knowledge gap and help MSEs thrive in every way. 
With access to a pool of industry experts, MSEs can overcome challenges and unlock their full potential in contributing to the GDP and generating employment opportunities besides chartering their own growth stories. 

Our Values:
Support: ToolClinic exists to support small and micro entities in metal machining, demonstrating a commitment to helping these businesses succeed.
Collaboration: ToolClinic believes in the power of collaboration, working together with its stakeholders to achieve common goals.
Optimization 5 M Resources: ToolClinic strives to optimize resources, ensuring efficient and effective use of available assets.
Win-Win-Win Approach: ToolClinic adopts a win-win approach to business, seeking mutually beneficial outcomes for everyone involved.

Our Mission:
To become a resolute guardian for micro and small industries in the metal cutting sector. We are dedicated to empowering them and promoting their growth while encouraging stability and responsible practices. By supporting these industries, we aspire to enable their positive contribution to mankind through innovation, quality, and socio-economic progress.

Our Vision:
Envisioning India as a global leader in metal-cutting and machining, we aim to provide top-notch technology and know-how to Micro and Small Industries, creating a skilled workforce and boosting India's reputation as a reliable source for industry needs.

ToolClinic.in bridges the gap, stimulating entrepreneurs to fulfill their ambitions to build businesses. ToolClinic.in is committed to providing support for: 
Skilled Manpower, 
Training & Development,
Foreign Machine Technology, 
Marketing, 
Finance Assistance, 
Mentoring from Experts.","Mechanical or Industrial Engineering","2-10 employees","Privately Held","Pune, MH","India","toolclinic.in","https://www.linkedin.com/company/toolclinic",,,,,,,,,
,,"Blue Boy Group of Companies","An ISO 9001-2015 certified company. We are a leading manufacturer of Industrial Storage Solution, Supermarket Shelving, Office Chairs and other furniture, expertly designed and engineered to enable businesses to Increase Capacity, Productivity and Efficiency.

Sectors We Specialized From Education to Hospitality and every sector in between, we can design and manufacture sustainable Storage and furniture solutions for every environment and budget. 

 Archive Storage
 Automotive
 Distribution
 Industrial
 Manufacturing 
 Retai
 Storage
 Warehouses","Mechanical or Industrial Engineering","51-200 employees","Privately Held","Ahmedabad, Gujarat","India","blueboygroup.in","https://www.linkedin.com/company/blueboy-fab-tech",,,,,,,,,
,,"Team Agrotech Private Limited",,"Mechanical or Industrial Engineering","11-50 employees","Privately Held","NAGPUR, India","India","teamagrotech.com","https://www.linkedin.com/company/teamagrotech",,,,,,,,,
,,"Cubed Data Analytics","Analysis","Data Infrastructure and Analytics","Self-employed","Self Employed","Goalpara , Assam","India",,"https://www.linkedin.com/company/icode-os",,,,,,,,,
,,"Ashok Engineering Corporation - India",,"Mechanical or Industrial Engineering",,,"Jalandhar, Punjab, India","India",,"https://www.linkedin.com/company/ashok-engineering-corporation---india",,,,,,,,,
,,"ATS Structural Consultants",,"Mechanical or Industrial Engineering",,,"Lucknow, Uttar Pradesh","India","business.site","https://www.linkedin.com/company/ats-structural-consultants",,,,,,,,,
,,"STEEL ART ENGINEERING WORKS - India",,"Mechanical or Industrial Engineering",,,,"India","steelartengg.com","https://www.linkedin.com/company/steel-art-engineering-works---india",,,,,,,,,
,,"Sunil Hi Tech Engineerd Limited.(Nagpur",,"Mechanical or Industrial Engineering","51-200 employees",,"Kolkata, West Bengal","India",,"https://www.linkedin.com/company/sunil-hi-tech-engineerd-limited.-nagpur",,,,,,,,,
,,"Project Engineer At Reflexions Electrical Private Limited,Andheri",,"Mechanical or Industrial Engineering","51-200 employees",,"Thane, Maharashtra","India",,"https://www.linkedin.com/company/project-engineer-at-reflexions-electrical-private-limited-andheri",,,,,,,,,
,,"Punch Fabricators Engineers & Contractors","We are offering Heavy Fabrication Services. These are designed to assure durability in Mild Steel & Stainless steel Finishing, accurate dimension, robust construction and corrosion resistant properties.","Mechanical or Industrial Engineering","51-200 employees",,"Mumbai, Maharashtra","India","indiamart.com","https://www.linkedin.com/company/punch-fabricators-engineers-&-contractors",,,,,,,,,
,,"G & P Engineering Company - India",,"Mechanical or Industrial Engineering",,,,"India","gpenggin.com","https://www.linkedin.com/company/g-&-p-engineering-company---india",,,,,,,,,
,,"Barrackpore Heavy Engineering & Steel Private Limited","Barrackpore Heavy Engineering & Steel Private Limited Manufacturer of railway wagon & coach components, fabrication works & boiler components in Kolkata, West Bengal.","Mechanical or Industrial Engineering","201-500 employees",,"Kolkata, West Bengal","India","bhes.in","https://www.linkedin.com/company/barrackpore-heavy-engineering-&-steel-private-limited",,,,,,,,,
,,"Purshotam Company Private Limited","Purshotam Company Pvt. Ltd is into Industrial Distribution and represents several world renowned brands like Sandvik, 3M, ITW, Sic Marking, etc.

The Registered Office is in Kolkata and have branches at Pune, Mumbai and Jamshedpur. It has Sales Engineers/Channel partners at Chennai, Delhi, Bangalore, Ludhiana, Rajkot, Indore, Aurangabad, Kolhapur and Goa.

The company deals in vast variety of products required by Industry like Marking Machines, Tools & Toolings, Adhesives, Abrasives, Machine Coolants, Machines etc","Mechanical or Industrial Engineering","11-50 employees","Privately Held","Kolkata, West Bengal","India","purshotam.com","https://www.linkedin.com/company/purshotam-company-pvt.-ltd.",,,,,,,,,
,,"Comfort Castors","Established in 1992, Comfort Castors (A Unit of Royal Tech Engineers)
has emerged as a leading name in the castor wheel industry globally. With exports to
20+ countries, we are a trusted partner for exceptional quality and prompt deliveries.
Backed by state-of-the-art manufacturing plants and in-house design, we offer certified
products and innovative solutions. Our expertise lies in various industries like
Automotive, Furniture, Air Cooler, Shopping Carts, Scaffolding, and Waste Management.
As the first Indian castor manufacturer with all global certifications, we take pride in
providing unmatched professionalism and seamless mobility. Experience excellence with
Comfort Castors  your trusted castor partner.","Mechanical or Industrial Engineering","201-500 employees","Privately Held","Gurgaon, Haryana","India","comfortcastors.com","https://www.linkedin.com/company/comfortcastors1",,,,,,,,,
,,"Metric Vibes Private Limited","MetricVibes is a comprehensive digital analytics solution partner empowering businesses with the tools they need to make data-driven decisions. our wide range of services in Business Consultation, Business Intelligence. We also specialise in audit and implementation services for leading analytics tools such as Google Analytics, Adobe Analytics, Amplitude, and more. With a team of seasoned experts, we transform data into actionable strategies, helping businesses make data-driven decisions.","Data Infrastructure and Analytics","2-10 employees","Privately Held","Noida, Uttar Pradesh","India","metricvibes.com","https://www.linkedin.com/company/metric-vibes-private-limited",,,,,,,,,
,,"GoodRich MAGMA Industrial Technologies Limited","GoodRich MAGMA Industrial Technologies Limited, based in Bangalore, is a public limited company that provides technologies & equipment for industrial projects from Western Europe, Russia, Ukraine, Belarus & China.","Mechanical or Industrial Engineering","2-10 employees","Public Company","Bangalore, Karnataka","India","goodrichmagma.com","https://www.linkedin.com/company/goodrich-magma-industrial-technologies-limited",,,,,,,,,
,,"Letsdesign Engineering","We are amongst the prominent Manufacturer and Supplier of a wide range of steel structures. Apart from this, we also undertake Structural Steel Fabrication & Erection works and Render Services for Structural Designing and Drawing.","Mechanical or Industrial Engineering","51-200 employees",,"Delhi, Delhi","India","indiamart.com","https://www.linkedin.com/company/letsdesign-engineering",,,,,,,,,
,,"WORKREST BLADES MANUFACTURING COMPANY","ONE OF THE THE LEADING MANUFACTURERS AND EXPORTERS OF CARBIDE TIPPED WORKREST BLADES FOR CENTRELESS GRINDING","Mechanical or Industrial Engineering","11-50 employees","Self Owned","haryana, Faridabad","India","workrestblades.in","https://www.linkedin.com/company/workrest-blades-manufacturing-company",,,,,,,,,
,,"Joe Engineers","Manufacturer of Powder Coating Plant Equipments, ED Coating Plant, Oven, Spray Booth, Cyclones, Blowers, Painting Booth, Dust Collector, Air Scrubber, Tanks, Ducts, STP, ETP, Industrial RO, Domestic RO Etc.","Mechanical or Industrial Engineering","11-50 employees",,"Chennai, Tamil Nadu","India","indiamart.com","https://www.linkedin.com/company/joe-engineers",,,,,,,,,
